Borough,Neighbourhood,ID,Name
Bronx,Woodlawn,511edb6de4b0d58346fd272d,Patrizia's Of Woodlawn
Bronx,Pelham Parkway,4bf96ae65317a593d837017f,Enzo's
Bronx,Pelham Parkway,4b47f069f964a5208c4426e3,Pasta Pasta
Bronx,City Island,4514ed4df964a520e5391fe3,Artie's Steak and Seafood
Bronx,Throgs Neck,4d4456d93616b60c953fe3c2,Tosca Marquee
Bronx,Morris Park,4b10591af964a5205f6e23e3,Patricia's
Bronx,Belmont,4acf80aef964a52025d420e3,Tino's Delicatessen
Bronx,Belmont,4af71916f964a520cf0522e3,Michaelangelo's Coal Fired Brick Oven Pizza Restaurant
Bronx,Belmont,59050f51b23dfa5f6649e678,Arthur Avenue Fiasco
Bronx,Belmont,4bb6470cef159c7465b275f7,Calabria Pork Store
Bronx,Belmont,4b5514c4f964a5207cda27e3,Enzo's
Bronx,Belmont,4aa425bef964a5208e4520e3,Dominick's Restaurant
Bronx,Belmont,4af0fa29f964a52060e021e3,Antonio's Trattoria
Bronx,Belmont,4aa193d5f964a520124120e3,Mario's Restaurant & Catering
Bronx,Belmont,4c79d294278eb713f6a05580,Cafe al Mercato
Bronx,Belmont,4a8e261cf964a5201c1220e3,Roberto's
Bronx,Belmont,4c9b9e7b9c663704b90463fd,Gerbasi Ristorante
Bronx,Belmont,4b5a4c8ff964a52049bb28e3,Emilia's Restaurant
Bronx,Belmont,4bc22a22920eb713bcc51b2c,Tra Di Noi
Bronx,Belmont,4b5bc595f964a520431529e3,Pasquale Riggaletto's
Bronx,Belmont,4cb0d382ef1b370419643e00,David Greco's Arthur Avenue Trattoria
Bronx,Belmont,53ff939c498e6b601dfa3979,San Gennaro Ristorante
Bronx,Belmont,4bc67f1104e8b713a833362d,Ann & Tony's - An Original Arthur Avenue Restaurant
Bronx,Belmont,44941e38f964a52081341fe3,Arthur Avenue Cafe
Bronx,Belmont,57005f75498ed225ade7266d,Tapas Italiano Fusion Restaurant
Bronx,North Riverdale,4b3bdd2cf964a520f57c25e3,Madison's
Bronx,North Riverdale,4b451a29f964a520ad0426e3,Beccofino
Bronx,Pelham Bay,4b85b6b3f964a5209b6e31e3,Giovanni's Italian Restaurant
Bronx,Pelham Bay,4c9e1ef2542b224b70a3f09f,Lucca Italian Restaurant
Bronx,Pelham Bay,4bc20b8d2a89ef3b6f1af388,Villa Barone Ristorante
